crew_id,character_id
1,37692
2,11405
10,38888
12,60075
26,32602
27,17024
28,4072
29,20803
30,21547
31,54499
32,36050
33,63798
34,2818
35,40886
36,57906
37,14037
38,69143
39,34111
40,63228
41,48690
42,6158
43,57588
44,41437
53,29350
116,39760
117,27583
118,53019
119,26535
120,58673
121,3858
124,54839
128,62290
130,15985
134,9384
138,30185
140,49032
142,25030
143,68227
144,54857
145,62288
147,62289
148,15539
149,11427
150,67094
151,25076
152,54828
153,54858
154,62293
155,26152
156,45007
157,25089
158,13341
159,26713
160,12738
161,4247
162,11537
163,26157
164,26714
165,62290
166,62290
167,54813
168,39494
169,16134
170,69547
171,39476
172,14981
173,26713
174,61054
175,26151
176,15985
177,24948
178,34669
179,54734
180,42358
182,37598
183,7107
184,10776
185,62289
186,57099
187,31931
188,15985
189,54859
190,7245
191,62289
192,9384
193,9384
194,47323
195,69971
196,19408
197,9386
198,18495
199,9386
200,29722
201,31931
202,31931
203,24632
204,17435
205,62294
206,9386
207,34668
208,9386
209,62288
210,62289
211,62289
212,7893
213,62289
214,52490
215,45017
216,62290
217,31931
218,46963
219,63943
220,31931
221,63367
222,15984
223,9386
224,63002
225,42357
226,37575
227,63622
228,58909
229,9386
230,9386
231,57311
232,9389
233,31931
234,65119
235,35501
236,9386
238,62287
239,14581
246,45829
249,47888
250,41859
251,18031
252,6973
253,51142
254,13932
255,8323
256,16340
257,48359
262,25662
263,27185
270,23053
271,31209
307,2635
310,15992
312,59573
313,8428
315,12129
325,61575
326,15478
331,63305
336,51152
373,23439
374,32288
375,39392
376,53673
377,46375
386,48099
387,58187
392,23440
393,17084
397,11251
400,54784
406,32317
409,28875
410,53050
411,70465
412,70431
413,13114
414,52768
415,19412
416,52765
417,20402
418,63628
419,8422
420,8423
421,32318
431,23360
432,6840
435,29467
437,23357
438,52776
439,69943
440,12695
441,23366
442,12695
443,38768
445,68985
446,19829
447,3676
447,69943
448,69178
449,12695
450,48183
452,1396
453,14543
454,70572
456,29230
457,6841
458,5112
459,32319
461,7775
463,5225
464,23366
466,39240
467,64137
471,47666
472,30605
475,68422
478,3686
484,5226
490,12555
491,10044
491,37685
492,569
506,28447
519,17328
519,19477
523,5075
528,10264
529,37859
533,32723
534,31585
536,13188
541,55651
542,2827
543,8506
544,32662
545,7808
546,5299
555,57359
556,10508
562,12057
566,57360
567,57357
572,45898
576,61312
580,57363
581,57361
582,22959
588,61321
597,52221
608,57362
619,45899
622,70559
627,61314
628,61315
629,61316
630,61317
631,61318
632,61319
633,61313
634,52220
635,48104
636,68854
637,1075
638,61320
661,57358
675,58726
677,35077
678,6493
679,32136
685,17491
686,48690
687,19033
688,38316
691,69790
692,44999
693,10755
698,49653
699,24885
700,57680
702,7913
703,17388
704,34144
705,54748
706,16105
707,62922
708,2917
709,16667
726,15183
731,15193
734,51414
737,53159
747,49369
748,15183
753,47981
768,36182
769,37573
770,32055
771,22351
772,56810
773,25031
774,52321
780,46969
782,23326
803,6592
804,52770
805,15666
806,53410
807,40119
808,45637
809,28310
811,25085
816,25068
817,22884
819,58267
821,47826
822,11556
824,44718
828,40590
829,41234
830,23309
831,22752
832,68713
834,23309
835,52872
836,13830
839,23309
841,1518
842,17404
845,8631
847,23310
848,7376
851,44717
852,55707
853,22753
854,58261
855,58261
856,67316
857,63267
858,44720
861,43994
865,63620
868,52810
874,23309
876,47031
877,40121
878,21023
881,23309
883,56811
890,47277
893,40120
905,17405
907,60011
924,31768
930,41232
932,52989
933,62177
935,8631
936,56811
941,56811
942,25978
943,17406
944,37581
945,26938
947,28170
948,28195
949,49743
950,4493
951,44717
952,44717
953,44719
954,61637
955,23309
956,23309
957,62177
958,62177
959,11228
960,13830
961,29815
962,41233
963,60013
964,60008
965,4641
966,56752
967,22754
968,22754
969,29587
970,71407
971,58261
972,43994
973,43994
974,36611
975,36611
976,61638
977,61638
978,61638
979,56103
980,68714
981,52655
982,52655
983,71406
984,71406
985,71406
986,71406
987,71406
988,8631
989,25980
990,62177
991,67312
992,1117
1019,33237
1020,24033
1021,41526
1022,8886
1023,16494
1024,33890
1025,48550
1026,26932
1027,31548
1028,41675
1032,3467
1035,69899
1041,71267
1042,23927
1043,36246
1045,69900
1047,69901
1048,61074
1049,69781
1050,69899
1054,69901
1059,2992
1060,37231
1061,17703
1062,47806
1063,3009
1064,37523
1069,3008
1071,27456
1072,19217
1073,51265
1074,50901
1075,9292
1085,9696
1086,69251
1087,20626
1088,9683
1091,26380
1102,13427
1103,52109
1104,54174
1105,38095
1106,47074
1107,47007
1108,14099
1109,66723
1110,7105
1121,33996
1122,58147
1123,25945
1125,42059
1126,38142
1129,2614
1131,27757
1135,36129
1137,14104
1140,26663
1141,21437
1142,52130
1143,58676
1144,14514
1145,58675
1146,57318
1149,70427
1150,24196
1152,31195
1153,58917
1155,8815
1156,42752
1157,45315
1159,35137
1160,58371
1162,40829
1163,57320
1164,41655
1166,70989
1169,28104
1170,61890
1171,58677
1172,58678
1173,66114
1174,57317
1175,14589
1176,14589
1177,44615
1178,36354
1179,42432
1180,63699
1181,19651
1182,36641
1183,14513
1184,53804
1185,68831
1186,35496
1187,44769
1188,17585
1189,12698
1190,58157
1191,60154
1192,48519
1193,37617
1194,52130
1195,5128
1285,5545
1287,48983
1288,6436
1289,8490
1293,20649
1295,8436
1297,67620
1298,19855
1299,28078
1300,26142
1301,60950
1303,63457
1304,14416
1305,7599
1312,48433
1316,7588
1328,48982
1334,66545
1335,11018
1342,65566
1343,20094
1344,14416
1348,14416
1349,14416
1350,52856
1351,4801
1352,49425
1356,33687
1357,53472
1370,7596
1374,64198
1380,7590
1388,7598
1431,14417
1432,14418
1468,70228
1481,3285
1482,14857
1483,1705
1484,61657
