movie_id,spokenLanguage_id
5,en
11,en
12,en
13,en
14,en
16,en
18,de
18,en
18,sv
19,xx
20,en
22,en
24,en
24,fr
24,ja
25,ar
25,en
25,es
25,la
28,en
28,fr
28,km
28,vi
33,en
35,en
38,en
55,es
58,el
58,en
58,tr
58,zh
59,en
62,en
62,ru
65,en
66,en
66,es
68,en
69,en
69,ru
70,en
70,ga
71,en
73,en
74,en
75,en
75,fr
76,de
76,en
76,fr
77,en
78,cn
78,de
78,en
78,hu
78,ja
79,zh
80,en
80,fr
83,en
85,ar
85,de
85,en
85,es
85,he
85,ne
87,en
87,si
89,de
89,el
89,en
90,en
95,en
95,ru
96,en
98,en
100,en
103,en
103,es
104,de
104,en
104,ja
105,en
106,en
106,es
107,en
107,ru
111,en
111,es
114,en
114,it
114,ja
115,de
115,en
115,es
115,he
116,en
117,en
118,en
120,en
121,en
122,en
128,ja
129,ja
134,en
137,en
137,fr
137,it
141,en
142,en
146,zh
149,ja
152,en
153,en
153,ja
154,en
155,en
155,zh
157,en
157,ru
161,en
161,it
162,en
163,en
163,fr
163,it
163,nl
163,zh
165,en
167,en
168,en
168,fi
169,en
170,en
170,es
172,en
173,en
174,en
176,en
177,en
179,en
179,fr
179,pt
180,en
180,sv
182,de
182,en
182,ru
182,zh
184,en
186,en
187,en
189,en
193,en
194,fr
194,ru
196,en
197,en
197,fr
197,gd
197,la
199,en
200,en
201,en
203,en
203,it
205,en
205,fr
207,en
214,en
215,en
217,de
217,en
217,ru
218,en
219,es
223,en
223,fr
226,en
227,en
231,ar
231,en
231,fa
231,fr
231,ur
231,zh
235,en
238,en
238,it
238,la
239,en
240,en
240,es
240,it
240,la
242,de
242,en
242,it
242,la
243,da
243,en
245,en
248,en
248,es
251,en
252,de
252,en
252,fr
253,en
253,hu
254,en
257,en
261,en
268,en
268,fr
272,en
272,ur
272,zh
274,en
277,en
278,en
279,de
279,en
279,it
279,la
280,en
280,es
284,en
285,en
288,en
289,de
289,en
289,fr
289,it
291,en
292,de
292,en
296,en
297,en
298,en
298,es
298,fr
302,en
302,fr
306,en
309,da
309,de
309,en
310,en
311,en
311,fr
311,it
314,en
314,es
319,en
319,it
320,en
321,en
321,fr
321,it
322,en
326,en
326,th
327,en
327,es
327,it
327,ja
329,en
329,es
330,en
331,en
331,es
332,en
332,es
332,fr
332,no
334,de
334,en
334,fr
335,en
338,de
342,de
345,en
346,ja
348,en
348,es
350,en
350,fr
364,en
377,en
380,en
380,it
387,de
387,en
387,fr
388,en
388,sq
389,en
391,es
391,it
392,en
392,fr
393,cn
393,en
393,es
393,zh
395,en
395,it
398,en
400,en
401,en
403,en
403,hu
403,pl
404,en
408,en
409,ar
409,de
409,en
409,it
411,de
411,en
414,en
415,en
421,de
421,en
421,fr
421,is
421,it
421,pt
421,tl
423,de
423,en
423,ru
424,de
424,en
424,he
424,pl
425,en
429,it
431,de
431,en
433,en
435,ar
435,en
435,es
435,fr
435,ja
436,en
436,es
440,en
451,en
453,en
454,en
455,en
455,pa
462,en
462,fr
464,en
464,it
464,sv
468,en
470,en
473,en
479,de
479,en
479,es
480,en
480,hi
489,en
492,en
492,fr
496,en
496,he
496,kk
497,en
497,fr
500,en
503,en
503,es
504,en
507,en
507,fr
508,en
508,fr
508,pt
509,en
509,es
510,en
512,en
522,en
524,en
525,en
526,en
533,en
534,en
534,it
535,en
535,pt
539,en
540,en
542,es
544,en
546,en
547,en
549,en
549,es
550,en
557,en
558,en
558,ru
558,zh
559,en
559,fr
562,de
562,en
562,it
563,en
568,en
573,en
576,de
576,en
576,es
577,en
578,en
579,en
580,en
581,en
582,de
584,en
584,es
585,en
586,en
586,sq
587,en
588,en
590,en
591,en
591,es
591,fr
591,la
592,en
593,ru
594,bg
594,en
594,es
594,fr
594,ru
595,en
597,de
597,en
597,fr
597,it
597,ru
597,sv
598,pt
601,en
602,en
603,en
604,en
605,en
605,fr
606,en
606,sw
607,en
607,es
608,en
609,en
612,ar
612,de
612,el
612,en
612,fr
612,he
612,it
612,ru
613,de
613,hu
613,ru
615,he
615,la
616,en
616,ja
617,en
619,en
621,en
622,en
622,es
622,fr
622,la
622,pl
622,pt
627,en
628,en
628,fr
629,en
629,es
629,fr
629,hu
630,en
634,en
639,en
640,en
640,fr
641,en
642,en
642,es
644,en
646,en
646,fr
650,en
652,en
654,en
657,en
657,ro
657,ru
657,tr
658,en
658,es
658,zh
660,en
660,fr
663,en
664,en
666,pt
667,en
667,ja
667,ru
668,de
668,en
670,ko
671,en
672,en
673,en
674,en
674,fr
675,en
676,en
676,fr
676,ja
679,en
680,en
680,es
680,fr
681,de
681,en
682,cn
682,en
682,th
686,en
687,en
688,en
691,ar
691,en
691,it
692,en
693,en
694,en
698,en
698,it
699,el
699,en
699,it
700,de
700,en
700,es
700,ru
702,en
703,de
703,en
704,en
707,en
708,ar
708,cs
708,de
708,en
708,fr
708,ru
708,sk
709,en
709,es
710,en
710,es
710,ru
711,en
712,en
713,en
713,mi
714,cn
714,da
714,de
714,en
714,zh
744,en
745,en
745,es
745,la
746,cs
746,en
746,ja
746,ru
746,zh
747,en
752,en
754,en
754,la
755,en
755,es
756,en
762,en
762,fr
762,la
764,en
765,en
766,en
767,en
768,en
768,hu
768,ru
769,en
769,it
770,en
771,en
772,en
772,fr
773,en
782,en
782,eo
783,en
783,hi
786,en
787,en
787,es
788,en
790,en
792,en
792,vi
794,en
794,it
794,la
795,en
795,pl
796,en
796,fr
796,vi
801,en
802,en
805,en
807,en
808,en
809,en
810,fr
811,de
811,en
812,en
813,en
816,en
817,de
817,en
818,de
818,en
818,fr
818,ja
819,en
820,en
820,es
821,en
824,en
824,es
824,fr
826,en
826,ja
826,th
834,en
834,fr
834,hu
837,en
838,en
840,en
840,es
840,fr
840,hi
841,en
841,it
844,cn
844,ja
844,zh
846,en
848,en
848,hu
849,en
850,en
853,de
853,en
853,ru
854,en
854,sv
855,en
855,so
857,cs
857,de
857,en
857,fr
859,en
860,en
861,en
862,en
863,en
864,de
864,en
864,fr
864,ru
865,en
866,en
868,af
868,xh
868,zu
869,en
872,en
873,en
874,en
874,es
874,fr
874,la
879,en
881,en
887,en
888,en
889,en
905,de
907,en
907,ru
913,en
920,en
920,it
920,ja
920,yi
921,en
924,en
924,it
925,en
926,en
927,en
927,es
928,en
935,en
943,en
944,cn
944,en
944,zh
947,ar
947,en
947,tr
948,en
950,en
951,en
951,es
953,en
953,es
953,fr
953,pt
953,th
954,cs
954,en
954,fr
955,en
956,cn
956,cs
956,de
956,en
956,it
956,zh
957,en
978,en
979,fr
985,en
987,en
990,en
1018,en
1018,es
1024,en
1051,en
1051,fr
