iso_639_1,language
af,Afrikaans
am,Unnamed (am)
ar,العربية
bg,български език
bm,Bamanankan
bn,বাংলা
bo,Unnamed (bo)
br,Unnamed (br)
bs,Bosanski
ca,Català
ce,Unnamed (ce)
cn,广州话 / 廣州話
co,Unnamed (co)
cs,Český
cy,Cymraeg
da,Dansk
de,Deutsch
dz,Unnamed (dz)
el,ελληνικά
en,English
eo,Esperanto
es,Español
et,Eesti
fa,فارسی
fi,suomi
fr,Français
ga,Gaeilge
gd,Unnamed (gd)
gl,Galego
he,עִבְרִית
hi,हिन्दी
hr,Hrvatski
hu,Magyar
hy,Unnamed (hy)
id,Bahasa indonesia
is,Íslenska
it,Italiano
iu,Unnamed (iu)
ja,日本語
ka,ქართული
kk,қазақ
km,Unnamed (km)
ko,한국어/조선말
ku,Unnamed (ku)
kw,Unnamed (kw)
ky,??????
la,Latin
mi,Unnamed (mi)
ml,Unnamed (ml)
mn,Unnamed (mn)
ne,Unnamed (ne)
nl,Nederlands
no,Norsk
nv,Unnamed (nv)
ny,Unnamed (ny)
pa,ਪੰਜਾਬੀ
pl,Polski
ps,پښتو
pt,Português
ro,Română
ru,Pусский
sa,Unnamed (sa)
sh,Unnamed (sh)
si,Unnamed (si)
sk,Slovenčina
sl,Slovenščina
so,Somali
sq,shqip
sr,Srpski
st,Unnamed (st)
sv,svenska
sw,Kiswahili
ta,தமிழ்
te,తెలుగు
th,ภาษาไทย
tl,Unnamed (tl)
to,Unnamed (to)
tr,Türkçe
uk,Український
ur,اردو
vi,Tiếng Việt
wo,Wolof
xh,Unnamed (xh)
xx,No Language
yi,Unnamed (yi)
zh,普通话
zu,isiZulu
